taxon,lineage,probability,pangoLEARN_version,status,note
Sequence_Identifier:VS_7528.aid_7029.SARS-CoV-2|Sample_Identifier:VS_7528|Sample_Name:PV13343|Segment:SARS-CoV-2,B.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:VS_7483.aid_7028.SARS-CoV-2|Sample_Identifier:VS_7483|Sample_Name:PV15144|Segment:SARS-CoV-2,B.1.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:AG_6981.aid_7027.SARS-CoV-2|Sample_Identifier:AG_6981|Sample_Name:MSK-2B|Segment:SARS-CoV-2,B.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:VS_7487.aid_7026.SARS-CoV-2|Sample_Identifier:VS_7487|Sample_Name:PV15150|Segment:SARS-CoV-2,B.1.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:AG_6996.aid_7024.SARS-CoV-2|Sample_Identifier:AG_6996|Sample_Name:MSK-10B|Segment:SARS-CoV-2,B.1,0.98,2020-07-20,passed_qc,
Sequence_Identifier:VS_7494.aid_7022.SARS-CoV-2|Sample_Identifier:VS_7494|Sample_Name:PV15160|Segment:SARS-CoV-2,B.1.1,0.97,2020-07-20,passed_qc,
Sequence_Identifier:AG_6987.aid_7021.SARS-CoV-2|Sample_Identifier:AG_6987|Sample_Name:MSK-6C|Segment:SARS-CoV-2,B.1.3,0.99,2020-07-20,passed_qc,
Sequence_Identifier:VS_7479.aid_7020.SARS-CoV-2|Sample_Identifier:VS_7479|Sample_Name:PV15140|Segment:SARS-CoV-2,B.1.3,0.99,2020-07-20,passed_qc,
Sequence_Identifier:AG_6962.aid_7019.SARS-CoV-2|Sample_Identifier:AG_6962|Sample_Name:MSK-4C|Segment:SARS-CoV-2,B.1.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:AG_6963.aid_7018.SARS-CoV-2|Sample_Identifier:AG_6963|Sample_Name:MSK-8A|Segment:SARS-CoV-2,B.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:VS_7481.aid_7017.SARS-CoV-2|Sample_Identifier:VS_7481|Sample_Name:PV15142|Segment:SARS-CoV-2,B.1.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:VS_7539.aid_7016.SARS-CoV-2|Sample_Identifier:VS_7539|Sample_Name:PV15118|Segment:SARS-CoV-2,B.1.1,0.97,2020-07-20,passed_qc,
Sequence_Identifier:VS_7495.aid_7015.SARS-CoV-2|Sample_Identifier:VS_7495|Sample_Name:PV15060|Segment:SARS-CoV-2,B.1.3,0.96,2020-07-20,passed_qc,
Sequence_Identifier:VS_7496.aid_7013.SARS-CoV-2|Sample_Identifier:VS_7496|Sample_Name:PV15063|Segment:SARS-CoV-2,B.1.3,0.96,2020-07-20,passed_qc,
Sequence_Identifier:AG_6967.aid_7012.SARS-CoV-2|Sample_Identifier:AG_6967|Sample_Name:MSK-11A|Segment:SARS-CoV-2,B.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:AG_6999.aid_7010.SARS-CoV-2|Sample_Identifier:AG_6999|Sample_Name:MSK-11D|Segment:SARS-CoV-2,B.1,1.0,2020-07-20,passed_qc,
Sequence_Identifier:VS_7480.aid_7009.SARS-CoV-2|Sample_Identifier:VS_7480|Sample_Name:PV15141|Segment:SARS-CoV-2,B.1.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:AG_6966.aid_7006.SARS-CoV-2|Sample_Identifier:AG_6966|Sample_Name:MSK-9B|Segment:SARS-CoV-2,A.3,1.0,2020-07-20,passed_qc,
Sequence_Identifier:AG_6970.aid_7005.SARS-CoV-2|Sample_Identifier:AG_6970|Sample_Name:MSK-3A_Isolate|Segment:SARS-CoV-2,B.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:AG_6985.aid_7001.SARS-CoV-2|Sample_Identifier:AG_6985|Sample_Name:MSK-5B|Segment:SARS-CoV-2,B.1,0.98,2020-07-20,passed_qc,
Sequence_Identifier:AG_6979.aid_7002.SARS-CoV-2|Sample_Identifier:AG_6979|Sample_Name:MSK-11A_Isolate|Segment:SARS-CoV-2,B.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:VS_7478.aid_6996.SARS-CoV-2|Sample_Identifier:VS_7478|Sample_Name:PV15139|Segment:SARS-CoV-2,B.1.1,0.99,2020-07-20,passed_qc,
